{'start_epoch': 1657630922, 'end_epoch': 1657631103, 'buy_price': 19872.21, 'sell_price': 19862.05, 'profit': -0.00051, 'trail_stop': None}
{'start_epoch': 1657631162, 'end_epoch': 1657631524, 'buy_price': 19895.97, 'sell_price': 19899.95, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657632663, 'end_epoch': 1657632903, 'buy_price': 19898.24, 'sell_price': 19902.22, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657633083, 'end_epoch': 1657633383, 'buy_price': 19949.22, 'sell_price': 19953.21, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657636263, 'end_epoch': 1657636684, 'buy_price': 19814.49, 'sell_price': 19818.45, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657637103, 'end_epoch': 1657637465, 'buy_price': 19862.0, 'sell_price': 19865.97, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657637763, 'end_epoch': 1657638064, 'buy_price': 19883.82, 'sell_price': 19887.8, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657638183, 'end_epoch': 1657638484, 'buy_price': 19924.36, 'sell_price': 19928.34, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657638662, 'end_epoch': 1657638963, 'buy_price': 19938.22, 'sell_price': 19942.21, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657641004, 'end_epoch': 1657641306, 'buy_price': 19877.19, 'sell_price': 19881.17, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657641602, 'end_epoch': 1657642205, 'buy_price': 19871.97, 'sell_price': 19875.94, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657643464, 'end_epoch': 1657644125, 'buy_price': 19933.35, 'sell_price': 19937.34, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657647542, 'end_epoch': 1657647844, 'buy_price': 19857.13, 'sell_price': 19861.1, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657648324, 'end_epoch': 1657648745, 'buy_price': 19855.26, 'sell_price': 19859.23, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657649942, 'end_epoch': 1657650243, 'buy_price': 19821.61, 'sell_price': 19825.57, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657654863, 'end_epoch': 1657655584, 'buy_price': 19335.44, 'sell_price': 19339.31, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657656122, 'end_epoch': 1657656302, 'buy_price': 19443.46, 'sell_price': 19447.35, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657664223, 'end_epoch': 1657664643, 'buy_price': 19383.45, 'sell_price': 19387.33, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657664882, 'end_epoch': 1657665246, 'buy_price': 19416.9, 'sell_price': 19420.78, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657665481, 'end_epoch': 1657665726, 'buy_price': 19450.7, 'sell_price': 19454.59, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657667163, 'end_epoch': 1657667706, 'buy_price': 19370.66, 'sell_price': 19374.53, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657667942, 'end_epoch': 1657668065, 'buy_price': 19417.53, 'sell_price': 19421.41, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657668723, 'end_epoch': 1657668964, 'buy_price': 19375.77, 'sell_price': 19347.46, 'profit': -0.00146, 'trail_stop': None}
{'start_epoch': 1657708502, 'end_epoch': 1657709223, 'buy_price': 19721.17, 'sell_price': 19725.11, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657710482, 'end_epoch': 1657710903, 'buy_price': 19763.34, 'sell_price': 19767.29, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657711742, 'end_epoch': 1657712582, 'buy_price': 19781.96, 'sell_price': 19785.92, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657712883, 'end_epoch': 1657713185, 'buy_price': 19829.92, 'sell_price': 19833.89, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657713902, 'end_epoch': 1657714144, 'buy_price': 19851.61, 'sell_price': 19831.67, 'profit': -0.001, 'trail_stop': None}
{'start_epoch': 1657717142, 'end_epoch': 1657717623, 'buy_price': 19131.48, 'sell_price': 19135.31, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657718041, 'end_epoch': 1657718103, 'buy_price': 19180.2, 'sell_price': 19184.04, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657720141, 'end_epoch': 1657720502, 'buy_price': 19240.73, 'sell_price': 19244.58, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657730402, 'end_epoch': 1657730523, 'buy_price': 19420.38, 'sell_price': 19424.26, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657730582, 'end_epoch': 1657730943, 'buy_price': 19425.79, 'sell_price': 19429.68, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657731062, 'end_epoch': 1657732082, 'buy_price': 19459.7, 'sell_price': 19463.59, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657735142, 'end_epoch': 1657735265, 'buy_price': 19883.16, 'sell_price': 19773.1, 'profit': -0.00554, 'trail_stop': None}
{'start_epoch': 1657736643, 'end_epoch': 1657737242, 'buy_price': 19704.98, 'sell_price': 19708.92, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657737842, 'end_epoch': 1657737963, 'buy_price': 19814.35, 'sell_price': 19774.07, 'profit': -0.00203, 'trail_stop': None}
{'start_epoch': 1657743002, 'end_epoch': 1657743423, 'buy_price': 19682.45, 'sell_price': 19686.39, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657744684, 'end_epoch': 1657744925, 'buy_price': 19645.08, 'sell_price': 19649.01, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657745104, 'end_epoch': 1657745345, 'buy_price': 19652.46, 'sell_price': 19656.39, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657745464, 'end_epoch': 1657745704, 'buy_price': 19660.47, 'sell_price': 19664.4, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657746183, 'end_epoch': 1657746845, 'buy_price': 19653.44, 'sell_price': 19657.37, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657747562, 'end_epoch': 1657747925, 'buy_price': 19752.81, 'sell_price': 19756.76, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657748043, 'end_epoch': 1657748406, 'buy_price': 19785.09, 'sell_price': 19789.05, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657748582, 'end_epoch': 1657749482, 'buy_price': 19804.31, 'sell_price': 19808.27, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657749723, 'end_epoch': 1657750025, 'buy_price': 19944.33, 'sell_price': 19948.32, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657752962, 'end_epoch': 1657753024, 'buy_price': 19845.5, 'sell_price': 19828.14, 'profit': -0.00087, 'trail_stop': None}
{'start_epoch': 1657753323, 'end_epoch': 1657753864, 'buy_price': 19850.3, 'sell_price': 19854.27, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657754103, 'end_epoch': 1657754465, 'buy_price': 19963.19, 'sell_price': 19967.18, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657755723, 'end_epoch': 1657756025, 'buy_price': 20177.26, 'sell_price': 20181.3, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657756264, 'end_epoch': 1657756505, 'buy_price': 20203.71, 'sell_price': 20207.75, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657756682, 'end_epoch': 1657757284, 'buy_price': 20253.95, 'sell_price': 20258.0, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657758663, 'end_epoch': 1657759023, 'buy_price': 20231.91, 'sell_price': 20194.77, 'profit': -0.00184, 'trail_stop': None}
{'start_epoch': 1657759083, 'end_epoch': 1657760225, 'buy_price': 20226.87, 'sell_price': 20230.92, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657763283, 'end_epoch': 1657763463, 'buy_price': 20250.31, 'sell_price': 20254.36, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657765863, 'end_epoch': 1657765924, 'buy_price': 20235.81, 'sell_price': 20239.86, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657765982, 'end_epoch': 1657766524, 'buy_price': 20247.0, 'sell_price': 20251.05, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657771562, 'end_epoch': 1657772343, 'buy_price': 20201.22, 'sell_price': 20205.26, 'profit': 0.0002, 'trail_stop': None}
